StudyHours,Attendance,AssignmentScore,PreviousExamScore,SleepHours,Participation,Pass
7,90,83,97,4.9,50,1
4,79,96,49,7.5,59,1
8,66,94,97,5.0,42,1
5,98,84,93,6.7,63,1
7,69,43,46,4.5,33,1
10,97,68,41,6.3,57,1
3,74,69,51,7.8,88,0
7,71,35,46,5.7,56,1
8,62,74,39,7.3,98,1
5,68,98,94,8.0,54,1
4,98,56,51,8.6,32,1
8,85,94,79,5.2,97,1
8,61,98,43,6.0,54,1
3,90,45,93,4.8,49,1
6,68,48,76,9.0,63,1
5,61,94,58,8.6,55,1
2,58,64,65,6.7,34,0
8,56,69,81,8.2,90,1
6,77,71,36,6.6,38,0
2,63,39,58,7.1,79,1
5,80,60,40,4.4,35,0
1,68,96,62,7.8,89,1
10,96,38,35,4.6,73,1
6,65,76,61,8.1,40,1
9,54,52,80,7.9,95,1
1,84,74,87,7.5,76,0
10,61,73,55,4.2,32,1
3,74,48,75,5.5,59,1
7,70,66,58,5.3,50,1
4,85,85,33,5.8,57,1
9,72,72,42,4.4,91,1
3,65,57,68,8.7,62,1
5,88,97,44,6.8,64,1
3,94,49,58,5.5,81,1
7,91,59,58,6.0,63,1
5,88,51,61,6.2,70,1
9,63,100,31,7.0,80,1
7,80,87,76,6.6,76,1
2,54,85,51,8.6,87,0
4,84,73,56,6.5,86,1
9,72,85,96,9.0,52,1
2,78,40,85,8.3,77,0
10,92,41,50,5.0,51,1
9,60,85,76,8.7,46,1
10,67,76,88,4.6,98,1
5,96,98,35,8.1,40,1
2,61,49,48,5.9,44,0
4,58,63,86,8.4,64,1
7,59,67,98,8.3,62,1
8,93,61,32,8.0,45,1
3,66,70,30,8.0,63,1
1,87,63,87,5.5,95,0
4,56,72,67,4.4,69,1
2,95,91,44,6.0,57,0
8,62,61,63,4.9,76,1
4,89,89,90,7.5,68,1
2,91,67,64,5.7,99,1
6,58,100,93,8.9,49,1
6,99,44,54,7.2,30,1
10,76,39,53,8.1,92,1
4,51,72,41,4.7,96,1
6,54,47,47,8.3,33,0
2,78,65,44,8.6,87,1
10,86,81,56,6.4,54,1
2,87,86,89,7.0,76,1
